author;year;title;journal;pages;place;taxa;region;number
Loew, H.;1868;Cilicische Dipteren und einige mit ihnen concurrirende Arten;Berliner entomologische Zeitschrift 12;369-386;Berlin;Stenopogon+Pycnopogon n.sp./;/Palae:/;5165
Loew, H.;1869;Beschreibungen europäischer Dipteren. Systematische Beschreibung der bekannten europäischen zweiflügligen Insecten von Johann Wilhelm Meigen. I.;Halle;310 pp. (61-121);;n.sp./;/Palae:/;5166
Loew, H.;1870;Diptera. in: Heyden,L.von: Entomologische Reise nach dem südlichen Spanien der Sierra Guadarrrama und Sierra Morena, Portugal und den Cantabrischen Gebirge mit Beschreibung der neuen Arten;Berlin;218 pp. (211-212);;;/Palae:/Spain/;5167
Loew, H.;1870;Lobioptera speciosa Meig. und decora nov.sp.;Zeitschrift für die gesamte Naturwissenschaft  35;9-14 (13);Braunschweig - Berlin-Dahlem;Cyrtopogon/;/Palae:/;5168
Loew, H.;1870;Ueber die von Herrn Dr.G.Seidlitz in Spanien gesammelten Dipteren;Berliner entomologische Zeitschrift 14;137-144;Berlin;Holopogon+Dioctria+Machimus n.sp./Eutolmus/Dysmachus/;/Palae:/Spain/;5169
Loew, H.;1871;Beschreibungen europäischer Dipteren. Systematische Beschreibung der bekannten europäischen zweiflügligen Insecten von Johann Wilhelm Meigen. II.;Halle;319 pp. (70-196);;Eccoptopus n.gen./Heteropogon+Nusa n.sp./;/Palae:/;5170
Loew, H.;1872;Diptera Americae septentrionalis indigena;Berliner entomologische Zeitschrift 16;49-115 (62-74);Berlin;Callinicus+Taracticus n.gen./;/Nearc:/Neotr:/;5171
Loew, H.;1873;Bemerkungen über die von Herrn F. Walker im 5. Bande des Entomologist beschriebenen ägyptischen und arabischen Dipteren;Zeitschrift für die gesamte Naturwissenschaft 42;105-109;Braunschweig - Berlin-Dahlem;Erax/Promachus/Trupanea/Dasypogon/Asilus/Sisyrnodytes/Lamyra/(Laphria)/;/Afrot:/Palae:/Arabian peninsula/Egypt/;5172
Loew, H.;1873;Beschreibungen europäischer Dipteren. Systematische Beschreibung der bekannten europäischen zweiflügligen Insecten von Johann Wilhelm Meigen. III.;Halle;320 pp. (120-144);;Ctenota n.gen./Dioctria n.sp./;/Palae:/Czech Republic/;5173
Loew, H.;1874;Diptera nova a Hug.Theod.Christopho collecta;Zeitschrift für die gesamte Naturwissenschaft 43, N.F. 9;413-420;Braunschweig - Berlin-Dahlem;Stenopogon (Scleropogon) n.sp./Pycnopogon n.sp./;/Palae:/;5174
Loew, H.;1874;Neue nordamerikanische Dasypogonina;Berliner entomologische Zeitschrift 18;353-377;Berlin;Dasypogonini/Psilocurus+Daulopogon n.gen./Archilestris n.nam./;/Nearc:/;5175
Loew, H.;1874;Ueber die Arten der Gattung Blepharotes Westw.;Zeitschrift für die gesamte Naturwissenschaft 10(44);71-75;Braunschweig - Berlin-Dahlem;Blepharotes n.sp./;/Austr:/Australia/;5176
Loew, H.;1881;In: Stein: Die Löw´sche Dipteren-Sammlung;Stettiner Entomologische Zeitung 42;489-491 (490);Szczecin (= Stettin);;;9626
Löhr, P.-W.;2008;Fliegen aus einem Garten im Vorderen Vogelsberg;Hessische Faunistische Briefe 27(1);10-14;Darmstadt;;/Palae:/Europe/Geermany/Hessen/;11199
Loi G. & A. Raspi;1983;Catalogo delle specie presenti nella collezione ditterologica del Prof. Filippo Venturi;*Frustula Entomologica. Nuova serie VI (XIX);187-191;?;;/Palae/Europe/Italy/;10759
Londt, J.G.H.;1977;Afrotropical Asilidae (Diptera) 1. The genus Choerades Walker, 1851 and the descriptions of two new genera, Nannolaphria and Notiolaphria, from southern Africa and Malagasy Republic;Annals of the Natal Museum 23(1);43-55;Pietermaritzburg;Choerades/Nannolaphria/Notiolaphria/n.gen./n.sp./Afrotropis/;/Afrot:/South Africa/;5207
Londt, J.G.H.;1978;Afrotropical Asilidae (Diptera) 2. The genus Philodicus Loew, 1848, in southern Africa;Annals of the Natal Museum 23(2);419-428;Pietermaritzburg;Philodicus/Afrotropis/;/Afrot:/South Africa/;5208
